sale_date,client_code,product_name,unit_price,quantity,amount,commission_rate
2024-11-01,C001,南部鉄器急須,15000,2,30000,15
2024-11-02,C001,鉄瓶,25000,1,25000,15
2024-11-03,C002,小鉢セット,8000,3,24000,20
2024-11-04,C002,湯呑みセット,5000,4,20000,20
2024-11-05,C003,手織りマフラー,12000,5,60000,18
2024-11-06,C003,テーブルランナー,8000,2,16000,18
2024-11-07,C004,お椀セット,18000,3,54000,15
2024-11-08,C004,盆,15000,2,30000,15
2024-11-09,C005,木製カトラリー,3000,10,30000,20
2024-11-10,C005,まな板,8000,3,24000,20
2024-11-15,C001,鍋敷き,2000,5,10000,15
2024-11-16,C002,抹茶碗,12000,2,24000,20
2024-11-20,C003,織物コースター,1500,20,30000,18
2024-11-22,C004,漆塗り箸,5000,8,40000,15
2024-11-25,C005,木製時計,15000,2,30000,20



